week,category,show_title,weekly_hours_viewed,runtime,weekly_views,cumulative_weeks_in_top_10,is_staggered_launch,Available Globally?,Release Date,MAIN_GENRE,SCORE,NUMBER_OF_VOTES,MAIN_PRODUCTION,NUMBER_OF_SEASONS
2024-03-24,Films (English),Irish Wish,40000000,1.5667,25500000.0,2,False,,,,,,,
2024-03-24,Films (English),Damsel,35700000,1.8333,19500000.0,3,False,,,,,,,
2024-03-24,Films (English),Shooter,11700000,2.0833,5600000.0,5,False,No,2016-11-16,war,7.5,35547.0,US,3.0
2024-03-24,Films (English),Shooter,11700000,2.0833,5600000.0,5,False,No,2016-11-16,thriller,7.2,329417.0,US,
2024-03-24,Films (English),Shooter,11700000,2.0833,5600000.0,5,False,No,2018-06-22,war,7.5,35547.0,US,3.0
2024-03-24,Films (English),Shooter,11700000,2.0833,5600000.0,5,False,No,2018-06-22,thriller,7.2,329417.0,US,
2024-03-24,Films (English),Shooter,11700000,2.0833,5600000.0,5,False,No,2017-07-19,war,7.5,35547.0,US,3.0
2024-03-24,Films (English),Shooter,11700000,2.0833,5600000.0,5,False,No,2017-07-19,thriller,7.2,329417.0,US,
2024-03-24,Films (English),Ford v. Ferrari,11200000,2.55,4400000.0,2,False,,,,,,,
2024-03-24,Films (English),The Casagrandes Movie,5700000,1.4167,4000000.0,1,False,,,,,,,
2024-03-24,Films (English),Hellboy,7500000,2.0167,3700000.0,1,False,,,,,,,
2024-03-24,Films (English),Shirley,7100000,1.9833,3600000.0,1,False,,,,,,,
2024-03-24,Films (English),The Super Mario Bros. Movie,5000000,1.5333,3300000.0,14,False,,,,,,,
2024-03-24,Films (English),Top Gun: Maverick,6900000,2.1667,3200000.0,2,False,No,,,,,,
2024-03-24,Films (English),Black Adam,5700000,2.0833,2700000.0,1,False,,,,,,,
2024-03-24,Films (Non-English),Cat & Dog,9700000,1.45,6700000.0,2,False,,,,,,,
2024-03-24,Films (Non-English),Art of Love,10900000,1.65,6600000.0,2,False,,,,,,,
2024-03-24,Films (Non-English),Fighter,16200000,2.7333,5900000.0,1,False,,,,,,,
2024-03-24,Films (Non-English),Murder Mubarak,7500000,2.3667,3200000.0,2,False,,,,,,,
2024-03-24,Films (Non-English),Girls to Buy,7000000,2.4,2900000.0,1,False,,,,,,,
2024-03-24,Films (Non-English),Society of the Snow,2900000,2.4333,1200000.0,12,False,,,,,,,
2024-03-24,Films (Non-English),My Name Is Vendetta,1500000,1.5333,1000000.0,9,False,,,,,,,
2024-03-24,Films (Non-English),Through My Window 3: Looking at You,1600000,1.75,900000.0,5,False,,,,,,,
2024-03-24,Films (Non-English),The Abyss,1500000,1.7167,900000.0,5,False,,,,,,,
2024-03-24,Films (Non-English),24 Hours with Gaspar,1400000,1.6333,900000.0,1,False,,,,,,,
2024-03-24,TV (English),The Gentlemen,78000000,6.6833,11700000.0,3,False,No,,comedy,7.8,314049.0,US,
2024-03-24,TV (English),3 Body Problem,81700000,7.4,11000000.0,1,False,,,,,,,
2024-03-24,TV (English),Homicide,29700000,4.5167,6600000.0,1,False,,,,,,,
2024-03-24,TV (English),Avatar The Last Airbender,24600000,7.25,3400000.0,5,False,,,,,,,
2024-03-24,TV (English),Hot Wheels Let's Race,9500000,4.0333,2400000.0,3,False,,,,,,,
2024-03-24,TV (English),Monk,18400000,9.35,2000000.0,1,False,,,,,,,
2024-03-24,TV (English),Turning Point: The Bomb and the Cold War,13700000,10.2833,1300000.0,2,False,,,,,,,
2024-03-24,TV (English),"The Program: Cons, Cults and Kidnapping",4100000,3.2,1300000.0,3,False,,,,,,,
2024-03-24,TV (English),Fool Me Once,8100000,6.4167,1300000.0,8,False,,,,,,,
2024-03-24,TV (English),One Day,8400000,6.6667,1300000.0,7,False,,,,,,,
2024-03-24,TV (Non-English),Physical: 100,25300000,4.1167,6100000.0,1,False,Yes,2023-01-24,,,,,
2024-03-24,TV (Non-English),Bandidos,25700000,5.3333,4800000.0,2,False,,,,,,,
2024-03-24,TV (Non-English),Iron Reign,37100000,8.3333,4500000.0,2,False,,,,,,,
2024-03-24,TV (Non-English),Queen of Tears,30000000,0.0,4200000.0,3,True,,,,,,,
2024-03-24,TV (Non-English),The Signal,9400000,4.15,2300000.0,3,False,,,,,,,
2024-03-24,TV (Non-English),The Outreau Case: A French Nightmare,5600000,3.05,1800000.0,2,False,,,,,,,
2024-03-24,TV (Non-English),Furies,10800000,6.0,1800000.0,4,False,,,,,,,
2024-03-24,TV (Non-English),Doctor Slump,25600000,0.0,1700000.0,9,True,,,,,,,
2024-03-24,TV (Non-English),Young Royals,7800000,4.9,1600000.0,2,False,Yes,2021-07-01,drama,8.3,26732.0,SE,1.0
2024-03-24,TV (Non-English),Young Royals,7800000,4.9,1600000.0,2,False,Yes,2022-11-01,drama,8.3,26732.0,SE,1.0
2024-03-24,TV (Non-English),Chicken Nugget,6600000,5.35,1200000.0,1,False,,,,,,,
2024-03-17,Films (English),Damsel,93200000,1.8333,50800000.0,2,False,,,,,,,
2024-03-17,Films (English),Irish Wish,30600000,1.5667,19500000.0,1,False,,,,,,,
2024-03-17,Films (English),Alone,5900000,1.6333,3600000.0,1,False,No,,,,,,
2024-03-17,Films (English),Alone,5900000,1.6333,3600000.0,1,False,No,,,,,,
2024-03-17,Films (English),Alone,5900000,1.6333,3600000.0,1,False,No,,,,,,
2024-03-17,Films (English),Code 8 Part II,6000000,1.6667,3600000.0,3,False,,,,,,,
2024-03-17,Films (English),Noah,8100000,2.2833,3500000.0,5,False,,,,,,,
2024-03-17,Films (English),The Back-Up Plan,6000000,1.7333,3500000.0,1,False,,,,,,,
2024-03-17,Films (English),The Super Mario Bros. Movie,5000000,1.5333,3300000.0,13,False,,,,,,,
2024-03-17,Films (English),Ford v. Ferrari,8300000,2.55,3300000.0,1,False,,,,,,,
2024-03-17,Films (English),Spaceman,5700000,1.8167,3100000.0,3,False,,,,,,,
2024-03-17,Films (English),Turbo,4300000,1.6,2700000.0,4,False,,,,,,,
2024-03-17,Films (Non-English),Art of Love,12700000,1.65,7700000.0,1,False,,,,,,,
2024-03-17,Films (Non-English),Cat & Dog,5900000,1.45,4100000.0,1,False,,,,,,,
2024-03-17,Films (Non-English),Murder Mubarak,7400000,2.3667,3100000.0,1,False,,,,,,,
2024-03-17,Films (Non-English),Anweshippin Kandethum,5200000,2.3833,2200000.0,2,False,,,,,,,
2024-03-17,Films (Non-English),My Name Is Loh Kiwan,3300000,2.2167,1500000.0,3,False,,,,,,,
2024-03-17,Films (Non-English),Merry Christmas (Hindi),3500000,2.4,1500000.0,2,False,,,,,,,
2024-03-17,Films (Non-English),Society of the Snow,3100000,2.4333,1300000.0,11,False,,,,,,,
2024-03-17,Films (Non-English),Through My Window 3: Looking at You,2200000,1.75,1300000.0,4,False,,,,,,,
2024-03-17,Films (Non-English),To Kill a Tiger,2300000,2.1333,1100000.0,1,False,,,,,,,
2024-03-17,Films (Non-English),"The Pig, the Snake and the Pigeon",2400000,2.2333,1100000.0,2,False,,,,,,,
2024-03-17,TV (English),The Gentlemen,134200000,6.6833,20100000.0,2,False,No,,comedy,7.8,314049.0,US,
2024-03-17,TV (English),Avatar The Last Airbender,37500000,7.25,5200000.0,4,False,,,,,,,
2024-03-17,TV (English),"The Program: Cons, Cults and Kidnapping",10600000,3.2,3300000.0,2,False,,,,,,,
