show_title,type,weekly_hours_viewed,cumulative_weeks_in_top_10,runtime,number_of_seasons,language,is_staggered_launch,available_globally,release_date,genre,main_production,week
'83,Films,6825000.0,2,,,Non-English,False,No,,,,2022-04-03
10 Days of a Bad Man,Films,6900000.0,2,4.1334,,Non-English,False,,,,,2023-08-27
10 Days of a Good Man,Films,7415000.0,2,,,Non-English,False,,,,,2023-03-12
1000 Miles from Christmas,Films,6795000.0,2,,,Non-English,False,,,,,2022-01-02
12 Strong,Films,8210000.0,2,,,English,False,No,,,,2022-07-24
13 Hours: The Secret Soldiers of Benghazi,Films,12050000.0,3,2.4,,English,False,No,,,,2023-11-12
14 Peaks: Nothing Is Impossible,Films,12170000.0,1,,,English,False,Yes,2021-11-29,,US,2021-12-05
1899,TV,51432000.0,5,,,English,False,Yes,2022-11-17,,,2022-12-18
1917,Films,10840000.0,1,,,English,False,No,,,,2022-08-14
2 Guns,Films,10505000.0,2,,,English,False,No,,,,2023-02-26
2 Hearts,Films,13500000.0,2,,,English,False,No,,,,2023-06-04
20th Century Girl,Films,8627500.0,4,,,Non-English,False,,,,,2022-11-13
21 Jump Street,Films,11690000.0,1,,,English,False,,,,,2021-11-07
211,Films,7900000.0,1,,,English,False,No,,,,2021-11-14
24 Hours with Gaspar,Films,1400000.0,1,1.6333,,Non-English,False,,,,,2024-03-24
28 Days Haunted,TV,13325000.0,2,,,English,False,Yes,2022-10-21,,,2022-10-30
3 Body Problem,TV,81700000.0,1,7.4,,English,False,,,,,2024-03-24
365 Days,Films,8165000.0,2,,,English,False,,,,,2022-05-08
365 Days: This Day,Films,30550000.0,4,,,English,False,Yes,2022-04-27,,,2022-05-22
4 Kings,Films,1920000.0,1,,,Non-English,False,,,,,2022-06-05
40 Years Young,Films,4900000.0,2,,,Non-English,False,,,,,2022-05-15
42 Days of Darkness,TV,9920000.0,1,,,Non-English,False,Yes,2022-05-11,,,2022-05-15
47 Meters Down: Uncaged,Films,5800000.0,1,,,English,False,No,,,,2023-02-19
47 Ronin,Films,4700000.0,1,2.0167,,English,False,,,,,2023-06-25
6 Underground,Films,7980000.0,3,,,English,False,Yes,2019-12-13,,,2022-04-03
65,Films,10500000.0,1,1.55,,English,False,No,,,,2023-07-16
6ixtynin9 The Series,TV,6500000.0,1,4.6833,,Non-English,False,,,,,2023-09-10
7 Prisoners,Films,9630000.0,2,,,Non-English,False,,,,,2021-11-21
7 Women and a Murder,Films,6530000.0,2,,,Non-English,False,,,,,2023-01-08
85 South: Ghetto Legends,TV,2700000.0,1,0.9,,English,False,No,2023-06-20,,,2023-06-25
A Bad Moms Christmas,Films,10890000.0,1,,,English,False,No,2018-01-05,,,2022-12-25
A Beautiful Life,Films,7090000.0,7,8.3335,,Non-English,False,Yes,2023-06-01,,,2023-07-16
A Boy Called Christmas,Films,14664000.0,5,,,English,False,No,2021-11-24,,,2021-12-26
A California Christmas: City Lights,Films,17245000.0,2,,,English,False,Yes,2021-12-16,,,2021-12-26
A Castle For Christmas,Films,18823333.333333332,3,,,English,False,Yes,2021-11-26,,,2021-12-12
A Christmas Miracle for Daisy,Films,9780000.0,1,,,English,False,No,,,,2022-12-11
A Classic Horror Story,Films,6575000.0,2,,,Non-English,False,Yes,2021-07-14,,,2021-07-25
A Cut Above,Films,2740000.0,1,,,Non-English,False,,,,,2022-07-31
A Day and a Half,Films,6666666.666666667,3,4.800000000000001,,Non-English,False,,,,,2023-09-17
A Day to Die,Films,6000000.0,1,1.75,,English,False,No,,,,2024-01-14
A Deadly Invitation,Films,2850000.0,4,6.2,,Non-English,False,,,,,2023-11-05
A Dog's Journey,Films,5565000.0,2,,,English,False,No,,,,2021-10-31
A Dog's Way Home,Films,5750000.0,1,,,English,False,No,,,,2022-04-17
A Hard Day,Films,1260000.0,1,,,Non-English,False,,,,,2022-05-01
A Jazzman's Blues,Films,11745000.0,2,,,English,False,Yes,2022-09-23,,,2022-10-02
A Killer Paradox,TV,21325000.0,4,28.6668,,Non-English,False,,,,,2024-03-03
A Life Too Short: The Isabella Nardoni Case,Films,7166666.666666667,3,5.25,,Non-English,False,,,,,2023-09-03
A Madea Homecoming,Films,18197500.0,4,,,English,False,Yes,2022-02-25,,,2022-03-20
A Man Called Otto,Films,12337500.0,4,,,English,False,No,,,,2023-05-28
A Man of Action,Films,9710000.0,2,,,Non-English,False,,,,,2022-12-11
A Model Family,TV,11653333.333333334,3,,,Non-English,False,Yes,2022-08-12,,,2022-08-28
A Nearly Normal Family,TV,28350000.0,4,18.1332,,Non-English,False,,,,,2023-12-17
A Not So Merry Christmas,Films,12020000.0,2,,,Non-English,False,,,,,2023-01-01
A Perfect Enemy,Films,4870000.0,1,,,English,False,No,,,,2022-01-30
A Perfect Fit,Films,4766666.666666667,3,,,Non-English,False,Yes,2021-07-15,,,2021-08-01
A Perfect Pairing,Films,18322000.0,5,,,English,False,Yes,2022-05-19,,,2022-06-19
A Perfect Story,TV,13900000.0,5,18.3335,,Non-English,False,,,,,2023-08-27
A Quiet Place Part II,Films,5255000.0,2,,,English,False,No,,,,2023-05-07
A Score to Settle,Films,9750000.0,1,,,English,False,No,,,,2022-04-17
A Storm for Christmas,TV,12985000.0,2,,,Non-English,False,,,,,2022-12-25
A Tale Dark & Grimm,TV,18730000.0,1,,,English,False,,,,,2021-10-17
A Time Called You,TV,21425000.0,4,48.7332,,Non-English,False,,,,,2023-10-01
A Tourist's Guide to Love,Films,13506666.666666666,3,,,English,False,Yes,2023-04-21,,,2023-05-07
A Vampire in the Family,Films,5933333.333333333,3,4.5,,Non-English,False,,,,,2024-01-14
A Very Good Girl,Films,4700000.0,1,1.9667,,Non-English,False,,,,,2023-12-31
A Walk Among the Tombstones,Films,7885000.0,2,,,English,False,No,,,,2022-03-27
A Woman With No Filter,Films,3355000.0,2,,,Non-English,False,,,,,2022-03-06
AKA,Films,18888333.333333332,6,4.1334,,Non-English,False,Yes,2023-04-28,,,2023-12-31
ATHENA,Films,7783333.333333333,3,,,Non-English,False,Yes,2022-09-23,,,2022-10-09
Abduction,Films,6785000.0,2,1.7667,,English,False,,,,,2023-06-18
Abominable,Films,8145000.0,2,,,English,False,,,,,2022-02-27
