type,show_title,week,type2,year,url,url2,url3,url4
m,83,2022-04-03,tv,2022,https://www.rottentomatoes.com/m/83_2022,https://www.rottentomatoes.com/m/83,https://www.rottentomatoes.com/tv/83_2022,https://www.rottentomatoes.com/tv/83
m,10_days_of_a_bad_man,2023-08-27,tv,2023,https://www.rottentomatoes.com/m/10_days_of_a_bad_man_2023,https://www.rottentomatoes.com/m/10_days_of_a_bad_man,https://www.rottentomatoes.com/tv/10_days_of_a_bad_man_2023,https://www.rottentomatoes.com/tv/10_days_of_a_bad_man
m,10_days_of_a_good_man,2023-03-12,tv,2023,https://www.rottentomatoes.com/m/10_days_of_a_good_man_2023,https://www.rottentomatoes.com/m/10_days_of_a_good_man,https://www.rottentomatoes.com/tv/10_days_of_a_good_man_2023,https://www.rottentomatoes.com/tv/10_days_of_a_good_man
m,1000_miles_from_christmas,2022-01-02,tv,2022,https://www.rottentomatoes.com/m/1000_miles_from_christmas_2022,https://www.rottentomatoes.com/m/1000_miles_from_christmas,https://www.rottentomatoes.com/tv/1000_miles_from_christmas_2022,https://www.rottentomatoes.com/tv/1000_miles_from_christmas
m,12_strong,2022-07-24,tv,2022,https://www.rottentomatoes.com/m/12_strong_2022,https://www.rottentomatoes.com/m/12_strong,https://www.rottentomatoes.com/tv/12_strong_2022,https://www.rottentomatoes.com/tv/12_strong
m,13_hours_the_secret_soldiers_of_benghazi,2023-11-12,tv,2023,https://www.rottentomatoes.com/m/13_hours_the_secret_soldiers_of_benghazi_2023,https://www.rottentomatoes.com/m/13_hours_the_secret_soldiers_of_benghazi,https://www.rottentomatoes.com/tv/13_hours_the_secret_soldiers_of_benghazi_2023,https://www.rottentomatoes.com/tv/13_hours_the_secret_soldiers_of_benghazi
tv,1899,2022-12-18,m,2022,https://www.rottentomatoes.com/tv/1899_2022,https://www.rottentomatoes.com/tv/1899,https://www.rottentomatoes.com/m/1899_2022,https://www.rottentomatoes.com/m/1899
m,1917,2022-08-14,tv,2022,https://www.rottentomatoes.com/m/1917_2022,https://www.rottentomatoes.com/m/1917,https://www.rottentomatoes.com/tv/1917_2022,https://www.rottentomatoes.com/tv/1917
m,2_guns,2023-02-26,tv,2023,https://www.rottentomatoes.com/m/2_guns_2023,https://www.rottentomatoes.com/m/2_guns,https://www.rottentomatoes.com/tv/2_guns_2023,https://www.rottentomatoes.com/tv/2_guns
m,2_hearts,2023-06-04,tv,2023,https://www.rottentomatoes.com/m/2_hearts_2023,https://www.rottentomatoes.com/m/2_hearts,https://www.rottentomatoes.com/tv/2_hearts_2023,https://www.rottentomatoes.com/tv/2_hearts
m,20th_century_girl,2022-11-13,tv,2022,https://www.rottentomatoes.com/m/20th_century_girl_2022,https://www.rottentomatoes.com/m/20th_century_girl,https://www.rottentomatoes.com/tv/20th_century_girl_2022,https://www.rottentomatoes.com/tv/20th_century_girl
m,21_jump_street,2021-11-07,tv,2021,https://www.rottentomatoes.com/m/21_jump_street_2021,https://www.rottentomatoes.com/m/21_jump_street,https://www.rottentomatoes.com/tv/21_jump_street_2021,https://www.rottentomatoes.com/tv/21_jump_street
m,211,2021-11-14,tv,2021,https://www.rottentomatoes.com/m/211_2021,https://www.rottentomatoes.com/m/211,https://www.rottentomatoes.com/tv/211_2021,https://www.rottentomatoes.com/tv/211
m,24_hours_with_gaspar,2024-03-24,tv,2024,https://www.rottentomatoes.com/m/24_hours_with_gaspar_2024,https://www.rottentomatoes.com/m/24_hours_with_gaspar,https://www.rottentomatoes.com/tv/24_hours_with_gaspar_2024,https://www.rottentomatoes.com/tv/24_hours_with_gaspar
tv,28_days_haunted,2022-10-30,m,2022,https://www.rottentomatoes.com/tv/28_days_haunted_2022,https://www.rottentomatoes.com/tv/28_days_haunted,https://www.rottentomatoes.com/m/28_days_haunted_2022,https://www.rottentomatoes.com/m/28_days_haunted
tv,3_body_problem,2024-03-24,m,2024,https://www.rottentomatoes.com/tv/3_body_problem_2024,https://www.rottentomatoes.com/tv/3_body_problem,https://www.rottentomatoes.com/m/3_body_problem_2024,https://www.rottentomatoes.com/m/3_body_problem
m,365_days,2022-05-08,tv,2022,https://www.rottentomatoes.com/m/365_days_2022,https://www.rottentomatoes.com/m/365_days,https://www.rottentomatoes.com/tv/365_days_2022,https://www.rottentomatoes.com/tv/365_days
m,365_days_this_day,2022-05-22,tv,2022,https://www.rottentomatoes.com/m/365_days_this_day_2022,https://www.rottentomatoes.com/m/365_days_this_day,https://www.rottentomatoes.com/tv/365_days_this_day_2022,https://www.rottentomatoes.com/tv/365_days_this_day
m,4_kings,2022-06-05,tv,2022,https://www.rottentomatoes.com/m/4_kings_2022,https://www.rottentomatoes.com/m/4_kings,https://www.rottentomatoes.com/tv/4_kings_2022,https://www.rottentomatoes.com/tv/4_kings
m,40_years_young,2022-05-15,tv,2022,https://www.rottentomatoes.com/m/40_years_young_2022,https://www.rottentomatoes.com/m/40_years_young,https://www.rottentomatoes.com/tv/40_years_young_2022,https://www.rottentomatoes.com/tv/40_years_young
tv,42_days_of_darkness,2022-05-15,m,2022,https://www.rottentomatoes.com/tv/42_days_of_darkness_2022,https://www.rottentomatoes.com/tv/42_days_of_darkness,https://www.rottentomatoes.com/m/42_days_of_darkness_2022,https://www.rottentomatoes.com/m/42_days_of_darkness
m,47_meters_down_uncaged,2023-02-19,tv,2023,https://www.rottentomatoes.com/m/47_meters_down_uncaged_2023,https://www.rottentomatoes.com/m/47_meters_down_uncaged,https://www.rottentomatoes.com/tv/47_meters_down_uncaged_2023,https://www.rottentomatoes.com/tv/47_meters_down_uncaged
